Symbol,AtomicNumber,Name,AtomicMass,CPKHexColor,ElectronConfiguration,Electronegativity,AtomicRadius,IonizationEnergy,ElectronAffinity,OxidationStates,StandardState,MeltingPoint,BoilingPoint,Density,GroupBlock,YearDiscovered,MeltingPointC,BoilingPointC
Mo,42,Molybdenum,96.0,54B5B5,[Kr]5s1 4d5,2.16,209.0,7.0920000000000005,0.746,+6,Solid,2896.0,4912.0,10.2,Transition metal,1778,2622.85,4638.85
Tc,43,Technetium,97.90720999999999,3B9E9E,[Kr]5s2 4d5,1.9,209.0,7.28,0.55,"+7, +6, +4",Solid,2430.0,4538.0,11.0,Transition metal,1937,2156.85,4264.85
Ru,44,Ruthenium,101.1,248F8F,[Kr]5s1 4d7,2.2,207.0,7.361000000000001,1.05,+3,Solid,2607.0,4423.0,12.1,Transition metal,1827,2333.85,4149.85
Rh,45,Rhodium,102.9055,0A7D8C,[Kr]5s1 4d8,2.28,195.0,7.459,1.137,+3,Solid,2237.0,3968.0,12.4,Transition metal,1803,1963.85,3694.85
Pd,46,Palladium,106.4,6985,[Kr]4d10,2.2,202.0,8.337,0.557,"+3, +2",Solid,1828.05,3236.0,12.0,Transition metal,1803,1554.9,2962.85
Ag,47,Silver,107.868,C0C0C0,[Kr]5s1 4d10,1.93,172.0,7.5760000000000005,1.3019999999999998,+1,Solid,1234.93,2435.0,10.501,Transition metal,Ancient,961.7800000000001,2161.85
Cd,48,Cadmium,112.41,FFD98F,[Kr]5s2 4d10,1.69,158.0,8.994,,+2,Solid,594.22,1040.0,8.69,Transition metal,1817,321.07000000000005,766.85
In,49,Indium,114.82,A67573,[Kr]5s2 4d10 5p1,1.78,193.0,5.7860000000000005,0.3,+3,Solid,429.75,2345.0,7.31,Post-transition metal,1863,156.60000000000002,2071.85
Sn,50,Tin,118.71,668080,[Kr]5s2 4d10 5p2,1.96,217.0,7.343999999999999,1.2,"+4, +2",Solid,505.08,2875.0,7.287000000000001,Post-transition metal,Ancient,231.93,2601.85
Sb,51,Antimony,121.76,9E63B5,[Kr]5s2 4d10 5p3,2.05,206.0,8.64,1.07,"+5, +3, -3",Solid,903.78,1860.0,6.685,Metalloid,Ancient,630.63,1586.85
Te,52,Tellurium,127.6,D47A00,[Kr]5s2 4d10 5p4,2.1,206.0,9.01,1.9709999999999999,"+6, +4, -2",Solid,722.66,1261.0,6.232,Metalloid,1782,449.51,987.85
I,53,Iodine,126.9045,940094,[Kr]5s2 4d10 5p5,2.66,198.0,10.450999999999999,3.0589999999999997,"+7, +5, +1, -1",Solid,386.85,457.55,4.93,Halogen,1811,113.70000000000005,184.40000000000003
Xe,54,Xenon,131.29,429EB0,[Kr]5s2 4d10 5p6,2.6,216.0,12.13,,0,Gas,161.36,165.03,0.005887,Noble gas,1898,-111.78999999999996,-108.11999999999998
Cs,55,Cesium,132.905452,57178F,[Xe]6s1,0.79,343.0,3.8939999999999997,0.47200000000000003,+1,Solid,301.59,944.0,1.93,Alkali metal,1860,28.439999999999998,670.85
Ba,56,Barium,137.33,00C900,[Xe]6s2,0.89,268.0,5.212000000000001,,+2,Solid,1000.0,2170.0,3.62,Alkaline earth metal,1808,726.85,1896.85
La,57,Lanthanum,138.9055,70D4FF,[Xe]6s2 5d1,1.1,240.0,5.577000000000001,0.5,+3,Solid,1191.0,3737.0,6.15,Lanthanide,1839,917.85,3463.85
Ce,58,Cerium,140.12,FFFFC7,[Xe]6s2 4f1 5d1,1.12,235.0,5.539,0.5,"+4, +3",Solid,1071.0,3697.0,6.77,Lanthanide,1803,797.85,3423.85
Pr,59,Praseodymium,140.9077,D9FFC7,[Xe]6s2 4f3,1.13,239.0,5.4639999999999995,,+3,Solid,1204.0,3793.0,6.77,Lanthanide,1885,930.85,3519.85
Nd,60,Neodymium,144.24,C7FFC7,[Xe]6s2 4f4,1.14,229.0,5.525,,+3,Solid,1294.0,3347.0,7.01,Lanthanide,1885,1020.85,3073.85
Pm,61,Promethium,144.91276000000002,A3FFC7,[Xe]6s2 4f5,,236.0,5.55,,+3,Solid,1315.0,3273.0,7.26,Lanthanide,1945,1041.85,2999.85
Sm,62,Samarium,150.4,8FFFC7,[Xe]6s2 4f6,1.17,229.0,5.644,,"+3, +2",Solid,1347.0,2067.0,7.52,Lanthanide,1879,1073.85,1793.85
Eu,63,Europium,151.96,61FFC7,[Xe]6s2 4f7,,233.0,5.67,,"+3, +2",Solid,1095.0,1802.0,5.24,Lanthanide,1901,821.85,1528.85
Gd,64,Gadolinium,157.2,45FFC7,[Xe]6s2 4f7 5d1,1.2,237.0,6.15,,+3,Solid,1586.0,3546.0,7.9,Lanthanide,1880,1312.85,3272.85
Tb,65,Terbium,158.92535,30FFC7,[Xe]6s2 4f9,,221.0,5.864,,+3,Solid,1629.0,3503.0,8.23,Lanthanide,1843,1355.85,3229.85
Dy,66,Dysprosium,162.5,1FFFC7,[Xe]6s2 4f10,1.22,229.0,5.939,,+3,Solid,1685.0,2840.0,8.55,Lanthanide,1886,1411.85,2566.85
Ho,67,Holmium,164.93033,00FF9C,[Xe]6s2 4f11,1.23,216.0,6.022,,+3,Solid,1747.0,2973.0,8.8,Lanthanide,1878,1473.85,2699.85
Er,68,Erbium,167.26,,[Xe]6s2 4f12,1.24,235.0,6.108,,+3,Solid,1802.0,3141.0,9.07,Lanthanide,1843,1528.85,2867.85
Tm,69,Thulium,168.93421999999998,00D452,[Xe]6s2 4f13,1.25,227.0,6.184,,+3,Solid,1818.0,2223.0,9.32,Lanthanide,1879,1544.85,1949.85
Yb,70,Ytterbium,173.04,00BF38,[Xe]6s2 4f14,,242.0,6.254,,"+3, +2",Solid,1092.0,1469.0,6.9,Lanthanide,1878,818.85,1195.85
Lu,71,Lutetium,174.967,00AB24,[Xe]6s2 4f14 5d1,1.27,221.0,5.426,,+3,Solid,1936.0,3675.0,9.84,Lanthanide,1907,1662.85,3401.85
Hf,72,Hafnium,178.5,4DC2FF,[Xe]6s2 4f14 5d2,1.3,212.0,6.825,,+4,Solid,2506.0,4876.0,13.3,Transition metal,1923,2232.85,4602.85
Ta,73,Tantalum,180.9479,4DA6FF,[Xe]6s2 4f14 5d3,1.5,217.0,7.89,0.322,+5,Solid,3290.0,5731.0,16.4,Transition metal,1802,3016.85,5457.85
W,74,Tungsten,183.8,2194D6,[Xe]6s2 4f14 5d4,2.36,210.0,7.98,0.815,+6,Solid,3695.0,5828.0,19.3,Transition metal,1783,3421.85,5554.85
Re,75,Rhenium,186.21,267DAB,[Xe]6s2 4f14 5d5,1.9,217.0,7.88,0.15,"+7, +6, +4",Solid,3459.0,5869.0,20.8,Transition metal,1925,3185.85,5595.85
Os,76,Osmium,190.2,266696,[Xe]6s2 4f14 5d6,2.2,216.0,8.7,1.1,"+4, +3",Solid,3306.0,5285.0,22.57,Transition metal,1803,3032.85,5011.85
Ir,77,Iridium,192.22,175487,[Xe]6s2 4f14 5d7,2.2,202.0,9.1,1.565,"+4, +3",Solid,2719.0,4701.0,22.42,Transition metal,1803,2445.85,4427.85
Pt,78,Platinum,195.08,D0D0E0,[Xe]6s1 4f14 5d9,2.28,209.0,9.0,2.128,"+4, +2",Solid,2041.55,4098.0,21.46,Transition metal,1735,1768.4,3824.85
Au,79,Gold,196.96657,FFD123,[Xe]6s1 4f14 5d10,2.54,166.0,9.226,2.309,"+3, +1",Solid,1337.33,3129.0,19.282,Transition metal,Ancient,1064.1799999999998,2855.85
Hg,80,Mercury,200.59,B8B8D0,[Xe]6s2 4f14 5d10,2.0,209.0,10.437999999999999,,"+2, +1",Liquid,234.32,629.88,13.5336,Transition metal,Ancient,-38.829999999999984,356.73
Tl,81,Thallium,204.38299999999998,A6544D,[Xe]6s2 4f14 5d10 6p1,1.62,196.0,6.108,0.2,"+3, +1",Solid,577.0,1746.0,11.8,Post-transition metal,1861,303.85,1472.85
Pb,82,Lead,207.0,575961,[Xe]6s2 4f14 5d10 6p2,2.33,202.0,7.417000000000001,0.36,"+4, +2",Solid,600.61,2022.0,11.342,Post-transition metal,Ancient,327.46000000000004,1748.85
Bi,83,Bismuth,208.9804,9E4FB5,[Xe]6s2 4f14 5d10 6p3,2.02,207.0,7.289,0.946,"+5, +3",Solid,544.55,1837.0,9.807,Post-transition metal,1753,271.4,1563.85
Po,84,Polonium,208.98243,AB5C00,[Xe]6s2 4f14 5d10 6p4,2.0,197.0,8.417,1.9,"+4, +2",Solid,527.0,1235.0,9.32,Metalloid,1898,253.85000000000002,961.85
At,85,Astatine,209.98715,754F45,[Xe]6s2 4f14 5d10 6p5,2.2,202.0,9.5,2.8,"7, 5, 3, 1, -1",Solid,575.0,,7.0,Halogen,1940,301.85,
Rn,86,Radon,222.01757999999998,428296,[Xe]6s2 4f14 5d10 6p6,,220.0,10.745,,0,Gas,202.0,211.45,0.009729999999999999,Noble gas,1900,-71.14999999999998,-61.69999999999999
Fr,87,Francium,223.01972999999998,420066,[Rn]7s1,0.7,348.0,3.9,0.47,+1,Solid,300.0,,,Alkali metal,1939,26.850000000000023,
Ra,88,Radium,226.02541000000002,007D00,[Rn]7s2,0.9,283.0,5.279,,+2,Solid,973.0,1413.0,5.0,Alkaline earth metal,1898,699.85,1139.85
Ac,89,Actinium,227.02775,70ABFA,[Rn]7s2 6d1,1.1,260.0,5.17,,+3,Solid,1324.0,3471.0,10.07,Actinide,1899,1050.85,3197.85
Th,90,Thorium,232.03799999999998,00BAFF,[Rn]7s2 6d2,1.3,237.0,6.08,,+4,Solid,2023.0,5061.0,11.72,Actinide,1828,1749.85,4787.85
Pa,91,Protactinium,231.0359,00A1FF,[Rn]7s2 5f2 6d1,1.5,243.0,5.89,,"+5, +4",Solid,1845.0,,15.37,Actinide,1913,1571.85,
U,92,Uranium,238.0289,008FFF,[Rn]7s2 5f3 6d1,1.38,240.0,6.194,,"+6, +5, +4, +3",Solid,1408.0,4404.0,18.95,Actinide,1789,1134.85,4130.85
Np,93,Neptunium,237.04817000000003,0080FF,[Rn]7s2 5f4 6d1,1.36,221.0,6.266,,"+6, +5, +4, +3",Solid,917.0,4175.0,20.25,Actinide,1940,643.85,3901.85
Pu,94,Plutonium,244.0642,006BFF,[Rn]7s2 5f6,1.28,243.0,6.06,,"+6, +5, +4, +3",Solid,913.0,3501.0,19.84,Actinide,1940,639.85,3227.85
Am,95,Americium,243.06137999999999,545CF2,[Rn]7s2 5f7,1.3,244.0,5.992999999999999,,"+6, +5, +4, +3",Solid,1449.0,2284.0,13.69,Actinide,1944,1175.85,2010.85
Cm,96,Curium,247.07035,785CE3,[Rn]7s2 5f7 6d1,1.3,245.0,6.02,,+3,Solid,1618.0,3400.0,13.51,Actinide,1944,1344.85,3126.85
Bk,97,Berkelium,247.07031,8A4FE3,[Rn]7s2 5f9,1.3,244.0,6.23,,"+4, +3",Solid,1323.0,,14.0,Actinide,1949,1049.85,
Cf,98,Californium,251.07959,A136D4,[Rn]7s2 5f10,1.3,245.0,6.3,,+3,Solid,1173.0,,,Actinide,1950,899.85,
Es,99,Einsteinium,252.083,B31FD4,[Rn]7s2 5f11,1.3,245.0,6.42,,+3,Solid,1133.0,,,Actinide,1952,859.85,
Fm,100,Fermium,257.09511000000003,B31FBA,[Rn] 5f12 7s2,1.3,,6.5,,+3,Solid,1800.0,,,Actinide,1952,1526.85,
Md,101,Mendelevium,258.09843,B30DA6,[Rn]7s2 5f13,1.3,,6.58,,"+3, +2",Solid,1100.0,,,Actinide,1955,826.85,
No,102,Nobelium,259.101,BD0D87,[Rn]7s2 5f14,1.3,,6.65,,"+3, +2",Solid,1100.0,,,Actinide,1957,826.85,
Lr,103,Lawrencium,262.11,C70066,[Rn]7s2 5f14 6d1,1.3,,,,+3,Solid,1900.0,,,Actinide,1961,1626.85,
Rf,104,Rutherfordium,267.122,CC0059,[Rn]7s2 5f14 6d2,,,,,+4,Solid,,,,Transition metal,1964,,
Db,105,Dubnium,268.126,D1004F,[Rn]7s2 5f14 6d3,,,,,"5, 4, 3",Solid,,,,Transition metal,1967,,
Sg,106,Seaborgium,271.134,D90045,[Rn]7s2 5f14 6d4,,,,,"6, 5, 4, 3, 0",Solid,,,,Transition metal,1974,,
Bh,107,Bohrium,274.144,E00038,[Rn]7s2 5f14 6d5,,,,,"7, 5, 4, 3",Solid,,,,Transition metal,1976,,
Hs,108,Hassium,277.152,E6002E,[Rn]7s2 5f14 6d6,,,,,"8, 6, 5, 4, 3, 2",Solid,,,,Transition metal,1984,,
Mt,109,Meitnerium,278.156,EB0026,[Rn]7s2 5f14 6d7 (calculated),,,,,"9, 8, 6, 4, 3, 1",Solid,,,,Transition metal,1982,,
Ds,110,Darmstadtium,281.165,,[Rn]7s2 5f14 6d8 (predicted),,,,,"8, 6, 4, 2, 0",Expected to be a Solid,,,,Transition metal,1994,,
Rg,111,Roentgenium,282.16900000000004,,[Rn]7s2 5f14 6d9 (predicted),,,,,"5, 3, 1, -1",Expected to be a Solid,,,,Transition metal,1994,,
Cn,112,Copernicium,285.177,,[Rn]7s2 5f14 6d10 (predicted),,,,,"2, 1, 0",Expected to be a Solid,,,,Transition metal,1996,,
Nh,113,Nihonium,286.183,,[Rn]5f14 6d10 7s2 7p1 (predicted),,,,,,Expected to be a Solid,,,,Post-transition metal,2004,,
Fl,114,Flerovium,289.191,,[Rn]7s2 7p2 5f14 6d10 (predicted),,,,,"6, 4,2, 1, 0",Expected to be a Solid,,,,Post-transition metal,1998,,
Mc,115,Moscovium,290.19599999999997,,[Rn]7s2 7p3 5f14 6d10 (predicted),,,,,"3, 1",Expected to be a Solid,,,,Post-transition metal,2003,,
Lv,116,Livermorium,293.205,,[Rn]7s2 7p4 5f14 6d10 (predicted),,,,,"+4, +2, -2",Expected to be a Solid,,,,Post-transition metal,2000,,
Ts,117,Tennessine,294.211,,[Rn]7s2 7p5 5f14 6d10 (predicted),,,,,"+5, +3, +1, -1",Expected to be a Solid,,,,Halogen,2010,,
Og,118,Oganesson,294.214,,[Rn]7s2 7p6 5f14 6d10 (predicted),,,,,"+6, +4, +2, +1, 0, -1",Expected to be a Gas,,,,Noble gas,2006,,
